Course,Title,CRN,Credits,Max Enrl,Cur Enrl,Remain Seats,Begin Time,End Time,Days,Bldg,Room,Instructor,Comments,Department,Last Taught
EC 220, Rise of State Capitalism,94927,3,20,19,1, 11:40, 12:55, T R, LAFAYE, L400, Gedeon S," Prereqs enforced by the system: (EC 170  or STAT 141) and EC 171, EC 172; May  repeat for credit if topics differ;  ECON majors only; Minimum sophomore  standing; Instructor permission until  Monday, April 15th",ECONOMICS,Fall 2019
EC 222, QR: Adv Macroeconomic Theory,96155,3,19,20,-1, 03:30, 04:45, M W, REMOTE, COURSE, Mathieu-Bolh N," Prereqs enforced by the system: (EC 170  or STAT 141) and EC 171 and EC 172;  ECON majors only; Minimum sophomore  standing; Instructor permission until  Monday, April 13th",ECONOMICS,Fall 2020
EC 230, Topics In Environmental Econ,93236,3,19,21,-2, 11:40, 12:55, T R, REMOTE, COURSE, Ramirez Harrin," Prereqs enforced by the system: (EC 170  or STAT 141) and EC 171 and EC 172; May  repeat for credit if topics differ;  ECON majors only; Minimum sophomore  standing; Instructor permission until  Monday, April 13th",ECONOMICS,Fall 2020
EC 237, Economy as a Complex System,94898,3,19,16,3, 10:05, 11:20, T R, REMOTE, COURSE, Gibson W," Prereqs enforced by the system: (EC 170  or STAT 141) and EC 171 and EC 172; May  repeat for credit if topics differ;  ECON majors only; Minimum sophomore  standing; Instructor permission until  Monday, April 13th",ECONOMICS,Fall 2020
EC 240," Inequality, Poverty and Wealth",94276,3,20,18,2, 01:15, 02:30, T R, L/L CM,302, Seguino S," Prereqs enforced by the system: (EC 170  or STAT 141) and EC 171, EC 172; May  repeat for credit if topics differ;  ECON majors only; Minimum sophomore  standing; Instructor permission until  Monday April 15th",ECONOMICS,Fall 2019
EC 250, Sem E:Race&Gndr Discrim Workpl,15315,3,20,20,0, 01:10, 02:00, M W F, LAFAYE, L311, Salinas V," Prereqs enforced by the system: EC 170  and EC 171, EC 172; May repeat for  credit if topics differ; ECON majors  only; Minimum sophomore standing;  Instructor permission required until  Monday, November 18th",ECONOMICS,Spring 2020
EC 255, Race&GenderDiscriminationWrkpl,95805,3,20,20,0, 12:00, 12:50, M W F, JEFFRD,110, Salinas V," Prereqs enforced by the system: (EC 170  or STAT 141) and EC 171 and EC 172;  ECON majors only; Minimum sophomore  standing; Course title: Race & Gender  Discrimination in the Workplace;  Instructor permission until Monday,  April 13th",ECONOMICS,Fall 2020
EC 260, AdvancedIndustrialOrganization,95205,3,19,20,-1, 01:15, 02:30, T R, MARSH,112, Sicotte R," Prereqs enforced by the system: (EC 170  or STAT 141) and EC 171 and EC 172; May  repeat for credit if topics differ;  ECON majors only; Minimum sophomore  standing; Instructor permission until  Monday, April 13th",ECONOMICS,Fall 2020
EC 280, Advanced Economic Analysis,13408,3,20,16,4, 10:05, 11:20, T R, COHEN,201, Gibson W," Prereqs enforced by the system: EC 200;  ECON majors only; Minimum sophomore  standing; Instructor permission until  Monday, November 18th",ECONOMICS,Spring 2020
EC 295, Economic Forecasting,94708,3,18,12,6, 10:50, 11:40, M W F, OLDMIL,221, Edwards W," Prereqs enforced by the system: EC 170  & EC 171 and EC 172; May repeat for  credit if topics differ; Minimum  Sophomore standing; ECON majors and  minors only; Students cannot enroll for  credit if they have completed EC 295,  Time Series Econometrics",ECONOMICS,Fall 2017
EC 296, Time Series Econometrics,14548,3,18,8,10, 12:00, 12:50, M W F, LAFAYE, L309, Sicotte R, Prereqs enforced by the system: EC 170  and 171 and EC 172; May repeat for  credit if topics differ; Minimum  Sophomore standing; ECON majors or  minors only,ECONOMICS,Spring 2017
ECLD 056," D1:Lang Policy Issues,Race&Sch",94416,3,25,24,1, 09:40, 10:30, M W F, REMOTE, COURSE, Reyes C," CESS majors: ECP, ECSP, EDML, ELK6, PE,  SE, SEE, SEL, SEM, SES, SESS; Or  instructor permission",EDUCATION--FOR--CULTURAL--&--LINGUISTIC--DIVERSITY,Fall 2020
ECLD 102, Bilingual Education & Policy,94418,3,22,19, 3*XL, 04:35, 07:35, T, REMOTE, COURSE, Bade M, Prereqs enforced by the system: ECLD  056; Open to Degree and CDE students;  Cross listed with ECLD 202 A,EDUCATION--FOR--CULTURAL--&--LINGUISTIC--DIVERSITY,Fall 2020
ECLD 201, Developing Curric for ELs,15225,3,15,10,5, 04:05, 07:05, W, L/L-A, A102, Bade M, Prereqs enforced by the system: ECLD  056,EDUCATION--FOR--CULTURAL--&--LINGUISTIC--DIVERSITY,Spring 2020
ECLD 202, Bilingual Education & Policy,94419,3,3,1, 2*XL, 04:35, 07:35, T, REMOTE, COURSE, Bade M, Open to Graduate and CDE students;  Cross listed with ECLD 102 A,EDUCATION--FOR--CULTURAL--&--LINGUISTIC--DIVERSITY,Fall 2020
ECLD 205, SL:FmlySchl&Cmty Collaboration,94420,3,23,16,7, TBA, TBA,, ONLINE, COURSE, Haines S, Prereqs enforced by the system: ECLD  056 & 102; Open to Degree and CDE  students,EDUCATION--FOR--CULTURAL--&--LINGUISTIC--DIVERSITY,Fall 2020
ECLD 295, SL:ELL Practicum,15226, 2.00-3.00,10,4,6, TBA, TBA,, ONCMP, SEE NOTES, Ghemari A, Prereqs enforced by the system: ECLD  056; Please contact instructor for  meeting time and location.,EDUCATION--FOR--CULTURAL--&--LINGUISTIC--DIVERSITY,Spring 2020
ECLD 296, SL: ELL Practicum,94490, 1.00-18.00,9,7,2, TBA, TBA,, REMOTE, COURSE, Reyes C, Prereqs enforced by the system: ECLD  056; Instructor will contact students w/  field placement details; Service  Learning; Cross listed with EDSP 295 A,EDUCATION--FOR--CULTURAL--&--LINGUISTIC--DIVERSITY,Fall 2020
ECSP 105, Individlzd Prac for Inclusion,13763,3,22,23,-1, 08:30, 11:30, W, L/L CM,302, Meyer L, ECP and ECSP majors or Instructor  Permission,EARLY--CHILDHOOD--SPECIAL--EDUC,Spring 2020
ECSP 187, Student Teaching Practicum,90109,12,10,3, 7*XL, TBA, TBA,, TBA, TBA, Meyer L  Patterson G  Stratton J  Hurley J, Prereqs enforced by the system: ECSP  202 & 210 & 211; ECSP majors only;  Cross listed with ECSP 386 A; Must also  register for ECSP 220; Maximum combined  enrollment is 20,EARLY--CHILDHOOD--SPECIAL--EDUC,Fall 2019
ECSP 202, D2:EI for Infants and Toddlers,90103,3,29,21,8, 04:05, 07:05, M, REMOTE, COURSE, Hurley J, ECSP and SPED majors only; Or SPED  minors with instructor permission; Open  to Degree and CDE students,EARLY--CHILDHOOD--SPECIAL--EDUC,Fall 2020
ECSP 210, Curriculum in ECSP,10443,3,20,1, 19*XL, 04:05, 07:05, M, L/L-A, A101, Sullivan M, Cross listed with ECSP 310 A;,EARLY--CHILDHOOD--SPECIAL--EDUC,Spring 2020
ECSP 211, Assessment in EI/ECSE,90111, 3.00-4.00,13,1, 12*XL, 04:30, 07:30, W, L/L-D, D107, Meyer L," ECSP majors register for 4 crs,  includes 30 hrs field wk; SPED minors  welcome with permission, register for 3  crs; Cross listed w/ECSP 311 A; Lab  fee: $40.00",EARLY--CHILDHOOD--SPECIAL--EDUC,Fall 2019
ECSP 220, Seminar in EI/ECSE,91226,3,10,3, 7*XL, 04:35, 07:35, R, L/L-A, A161, Hurley J, ECSP majors only; must register for  ECSP 187 as well; Cross-listed w/ECSP  320 A; Open to Degree and CDE students,EARLY--CHILDHOOD--SPECIAL--EDUC,Fall 2019
ECSP 310, Curriculum in ECSP,10444,3,10,7, 3*XL, 04:05, 07:05, M, L/L-A, A101, Sullivan M, Graduate standing; Cross listed with  ECSP 210 A; Total combined enrollment  is 30,EARLY--CHILDHOOD--SPECIAL--EDUC,Spring 2020
ECSP 311, Assessment in EI/ECSE,90112,3,12,11, 1*XL, 04:30, 07:30, W, L/L-D, D107, Meyer L, SPED majors only; Cross listed with  ECSP 211 A; Maximum combined enrollment  is 25,EARLY--CHILDHOOD--SPECIAL--EDUC,Fall 2019
ECSP 320, Seminar in EI/ECSE,11043,3,10,3,7, 01:15, 04:15, R, L/L-B, B102, Hurley J, SPED majors only; Must also register  for ECSP 386; Cross listed with ECSP  220 A; Total combined enrollment is 20;  Pre-Req ECSP 310 and 311,EARLY--CHILDHOOD--SPECIAL--EDUC,Spring 2020
ECSP 355, Implementation Science in ECSP,13762,3,15,8,7, 05:05, 08:05, W, L/L-D, D107, Meyer L, Open to SPED Grad students only,EARLY--CHILDHOOD--SPECIAL--EDUC,Spring 2020
ECSP 397, Problems in Education,15647,3,5,4,1, TBA, TBA,, ONCMP, SEE NOTES, Hurley J  Meyer L, Contact department for location,EARLY--CHILDHOOD--SPECIAL--EDUC,Spring 2020
EDAR 177, SL: Curric & Pract in Elem Art,90617,4,10,7,3, 12:30, 04:00, W, FLEMIN,104, White E," Prereq: 18 hrs ARTS; ARTE mjrs, ARTE  post bacc; Service Learning",ART--EDUCATION,Fall 2020
EDAR 178, Curriculum&Pract Middle/HS Art,90375,4,10,7,3, 04:05, 07:05, M, WILLMS,409, Bradshaw J," Prereq: 18 hrs ARTS; ARTE mjrs, ARTE  post bacc",ART--EDUCATION,Fall 2020
EDAR 283, Current Issues in Art & Ed,10479,3,15,6,9, 04:00, 06:00, M, WILLMS,409, Bradshaw J, Junior standing or Instructor  permission; ARTE majors only; Prereq:  EDAR 177 AND EDAR 178,ART--EDUCATION,Spring 2020
EDAR 284, SL: Alternative Sites,10481,3,15,7,8, 04:00, 06:00, W, WILLMS,409, McKernan K," Junior standing or Instructor  permission; Open to ARTH, SART, ARTE  majors; Prereq: EDAR 177 AND EDAR 178;  Service Learning",ART--EDUCATION,Spring 2020
EDCI 200," Society, Stress & the Brain",15252,3,20,16,4, TBA, TBA,, ONLINE, COURSE, Jiron H," Open to CDE, Senior, and Graduate  students only",CURRICULUM--&--INSTRUCTION,Spring 2019
EDCI 322, Differentiation & Technology,95197,3,15,19,-4, TBA, TBA,, ONLINE, COURSE, deLaBruere L, Open to Graduate and CDE Students,CURRICULUM--&--INSTRUCTION,Fall 2019
EDCI 323, Inquiry and Technology,97046,3,3,3,0, TBA, TBA,, ONLINE, COURSE, deLaBruere L, Instructor permission required,CURRICULUM--&--INSTRUCTION,Fall 2020
EDCI 324, Assessment and Technology,15253,3,15,6,9, TBA, TBA,, ONLINE, COURSE, Hennessey S, Open to graduate and CDE students only,CURRICULUM--&--INSTRUCTION,Spring 2019
EDCI 325, Leadership and Technology,12861,3,15,12,3, TBA, TBA,, ONLINE, COURSE, deLaBruere L, Open to graduate and CDE students,CURRICULUM--&--INSTRUCTION,Spring 2020
EDCI 331," Society, Stress and the Brain",15053,3,15,15,0, TBA, TBA,, ONLINE, COURSE, Jiron H," Open to CDE, Senior, and Graduate  Students Only",CURRICULUM--&--INSTRUCTION,Spring 2020
EDCI 333, Curr Concepts/Planning/Develop,15636,3,25,11,14, TBA, TBA,, ONLINE, COURSE, Kaplan J, Open to Degree and CDE Students,CURRICULUM--&--INSTRUCTION,Spring 2017
EDCI 363, Analysis of Curr & Instruc Sem,15225,3,15,8,7, 04:05  TBA, 07:05  TBA, R, WATERM  ONLINE, 400  COURSE, Neumann M, Open to Degree and CDE Students,CURRICULUM--&--INSTRUCTION,Spring 2017
EDCI 397, Problems in Education,91103, 1.00-6.00,10,1,9, TBA, TBA,, TBA, TBA, Halladay J, Instructor permission required,CURRICULUM--&--INSTRUCTION,Fall 2018
EDCO 101, The Helping Relationship,15462,3,5,4, 1*XL, 08:30, 09:45, T R, L/L CM,216, McCloud J, Cross listed with HDFS 101; Prereqs for  Human Dev & Family Studies students:  HDFS 005 or HDFS 060 (HDFS 060 may be  taken concurrently w/ HDFS 101);  Sophomore standing or instructor perm;  Cross listed with HDFS 101; Cross list  enrollment=50,COUNSELING,Spring 2020
EDCO 220, Developmental Persp in Counsel,90629,3,30,26,4, 04:05, 07:05, M, PERKIN,102, Kindsvatter," Graduate CNSL majors only, or  permission; email: cslgprog@uvm.edu for  permission for non-majors",COUNSELING,Fall 2018
EDCO 291," Happiness, Mindfulness &Health",14407,3,25,23,2, 04:35, 07:35, T, MANN, 102C, Quintiliani A  Cariano T,,COUNSELING,Spring 2020
EDCO 320, Dev. Perspectives in CNSLNG,94509,3,25,27,-2, 04:05, 07:05, M, REMOTE, COURSE, Kindsvatter A," Graduate CNSL majors only, or  permission; email: cslgprog@uvm.edu for  permission for non-majors",COUNSELING,Fall 2020
EDCO 340, Development Guidance in Schls,10489,3,15,10,5, 04:35, 07:35, R, MANN,104, Wile T," CNSL Majors, AMP Degree students or  Permission; Email cslgprog@uvm.edu to  be put on waitlist",COUNSELING,Spring 2020
EDCO 341, Diagnosis in School Counseling,14078,1,10,6,4, 01:15, 04:15, R, ONCMP, SEE NOTES, Welkowitz J," CNSL majors only or w/permission; For  permission email cslgprog@uvm.edu; CDE  students must email to be put on  waitlist Meets in Mann 211 on 1/16, 1/  23, 1/30, 2/6, 2/13, 2/20, 2/27",COUNSELING,Spring 2020
EDCO 342, Assessment in School,14070,1,15,5,10, 04:05, 07:05, W, ONCMP, SEE NOTES, McNamara D," Prereqs: CNSL Mjrs and EDCO 320, 350,  375, 377 or permission Meets in Mann  102C on 1/15, 1/22, 1/29, 2/5, 2/12, 2/  19,2/26",COUNSELING,Spring 2020
EDCO 344, Modalities:Counsel Child&Adol,91122,3,25,26,-1, 08:30, 11:30, M, REMOTE, COURSE, Geroski A, Graduate students only; Concurrent with  internship or with permission; email:  cslgprog@uvm.edu for permission,COUNSELING,Fall 2020
EDCO 345, Diagnosis in Counseling,11186,3,25,20,5, 01:15, 04:15, R, MANN,211, Welkowitz J, CNSL majors only or with permission;  For permission email cslgprog@uvm.edu;  CDE students must email to be put on  waitlist,COUNSELING,Spring 2020
EDCO 350, Prof Issues in Counseling,90517,3,25,28,-3, 12:00, 03:00, W, REMOTE, COURSE, Okech J," Graduate CNSL majors only, or  permission; email: cslgprog@uvm.edu for  permission for non-majors",COUNSELING,Fall 2020
EDCO 352, Assessment in Counseling,11254,3,25,20,5, 04:05  TBA, 07:05  TBA, W, MANN  ONLINE, 102C  COURSE, McNamara D," Prereqs enforced by the system: EDCO  220, 350, 374, 375 and 377; CNSL Mjrs  or permission; Course has online  component, will not meet on campus  during selected weeks--dates TBA.",COUNSELING,Spring 2020
EDCO 361, Practice of Mental Hlth Cnslng,10490,3,30,24,6, 12:00, 03:00, M, MANN, 102C, Kindsvatter A," CNSL Majors, AMP Degree students or  Permission; Non-majors email cslgprog@  uvm.edu to be put on waitlist",COUNSELING,Spring 2020
EDCO 363, Counseling Practicum,10929,3,6,5,1, 12:00, 03:00, M, MANN,104, Geroski A," Prereqs: EDCO 320, 350, 374, 375, EDCO  340 (School Track), EDCO 361 (Clinical  Mental Health Track); CNSL Mjrs only",COUNSELING,Spring 2020
EDCO 374, Counseling Theory & Practice,91277,3,25,28,-3, 04:35, 07:35, R, REMOTE, COURSE, Smith L, Graduate CNSL majors only; email:  cslgprog@uvm.edu for permission for  non-majors,COUNSELING,Fall 2020
EDCO 375, Lab Experience in Counseling,90725,3,8,9,-1, 08:30, 11:30, W, REMOTE, COURSE, Geroski A, Graduate CNSL majors only; Pre/Co-req:  EDCO 374,COUNSELING,Fall 2020
EDCO 376, Addictions Counseling,10430,3,32,25,7, 08:30, 11:30, T, MANN,211, Welkowitz J," Prereqs: EDCO 320, 350, 374, 375, 392;  CNSL Majors",COUNSELING,Spring 2020
EDCO 377, Diversity & Intersectionality,10924,3,30,28,2, 08:30, 11:30, M, MANN, 102C, Chang N," Prereqs: EDCO 320, 350, 374, 375; CNSL  major or email cslgprog@uvm.edu for  permission; CDE students must email to  be put on waitlist",COUNSELING,Spring 2020
EDCO 381, Counsel/Career&Lifestyle Dev,11024,3,25,25,0, 01:15  TBA, 04:15  TBA, T, MANN  ONLINE, 211  COURSE, Ganguly T," Prereqs: EDCO 374, 375; CNSL Mjrs;  Non-majors email cslgprog@uvm.edu to be  put on waitlist; Course has online  component, will not meet on campus  during selected weeks--dates TBA.",COUNSELING,Spring 2020
EDCO 388, Family and Couples Counseling,90728,3,25,28,-3, 01:15, 04:15, T, REMOTE, COURSE, Welkowitz J," Graduate CNSL majors only; Prereqs:  EDCO 220, 350, 374, 375, 392; or  permission; email: cslgprog@uvm.edu for  permission for non-majors",COUNSELING,Fall 2020
EDCO 392, Group Counseling Experience,10965,1,12,11,1, 04:35, 05:35, M, MANN,104, Johnson M, CNSL majors only; E-mail cslgprog@uvm.  edu,COUNSELING,Spring 2020
EDCO 393, Adv Group:Theory and Practice,91115,3,25,25,0, 11:30, 05:20, M, REMOTE, COURSE, Wackerman L," Graduate CNSL majors only;  Prerequisites: EDCO 220, 350, 374, 375,  377 392; Concurrent with Internship;  Must register for lab A01, A02 or A03",COUNSELING,Fall 2020
EDEC 001, CL: Intro Early Care&Education,91405,4,29,27,2, 08:30, 09:45, T R, REMOTE, COURSE, Mackillop L, Open to ECP and ECSP majors or by  instructor permission. Service Learning;  16 hours at Trinity Children's Center.,EARLY--CHILDHOOD--PRE--K-3,Fall 2020
EDEC 063, Child Development,93869,3,60,46,14, 03:30, 04:45, M W, REMOTE, COURSE, Northey K,,EARLY--CHILDHOOD--PRE--K-3,Fall 2020
EDEC 101, Inclusive Pedagogy in ECE,11111,3,24,6,18, 08:30, 11:30, M, L/L-B, B132, Cowles K, Prereqs enforced by the system: EDEC  063; ECP and ECSP majors only; Must  take concurrently with EDEC 103A or  103B; Lab takes place in the Campus  Children's School; $30 Lab fee.,EARLY--CHILDHOOD--PRE--K-3,Spring 2019
EDEC 103, Early Childhood Practicum,12491,4,12,2,10, 02:30  08:30, 05:30  11:30, T R  F, ONCMP  ONCMP, SEE NOTES  SEE NOTES, Mackillop L, ECP and ECSP majors only or Instructor  permission; Must take concurrently with  EDEC 101; Takes place in Campus  Children's School,EARLY--CHILDHOOD--PRE--K-3,Spring 2019
EDEC 105, Inf/Todd Curriculum Develop,94461,3,15,15,0, 08:30, 11:30, M, REMOTE, COURSE, Cowles K, Prereqs enforced by the system: EDEC  001 and EDEC 063,EARLY--CHILDHOOD--PRE--K-3,Fall 2020
EDEC 109, Infant Toddler Practicum,94457,4,10,7,3, 07:30, 12:00, T R, REMOTE, COURSE, Cowles K, Prereqs enforced by the system: EDEC  001 and EDEC 063; or equivalent;  Individual & Group Meetings TBD; ECP  and ECSP majors only or with instructor  permission; Must register for lecture  EDEC 105 A; Lab takes place in a  setting for children birth-age 3;  Praxis core fulfilled; Lab Fee $40,EARLY--CHILDHOOD--PRE--K-3,Fall 2020
EDEC 122, Culturally Responsive Educatn,12331,3,28,20,8, 04:35, 07:35, T, L/L-B, B132, Northey K, ECP and ECSP majors only or Instructor  permission,EARLY--CHILDHOOD--PRE--K-3,Spring 2020
EDEC 140, Curriculum Development in ECE,12495,3,22,5,17, 08:30, 11:30, F, L/L-B, B132, Northey K, Prereqs enforced by the system: EDEC  101 and EDEC 122; ECP and ECSP majors  only or Instructor permission; Must  take concurrently with EDEC 139; Praxis  core requirement fulfilled,EARLY--CHILDHOOD--PRE--K-3,Spring 2019
EDEC 145, Preschool Curriculum Devel,14951,3,22,13,9, 08:30, 11:30, F, L/L CM,302, Cowles K, Prereqs enforced by the system: EDEC  001 and 063; ECP and ECSP majors only  or instructor permission; Must take  concurrently with EDEC 139 or EDEC 149;  Praxis core requirement fulfilled,EARLY--CHILDHOOD--PRE--K-3,Spring 2020
EDEC 149, Preschool Practicum,14969,4,10,3,7, 07:30, 12:00, M W, OFFCMP, SEE NOTES, Cowles K, Prereqs enforced by the system: EDEC  001 and 063; ECP and ECSP majors only  or Instructor permission; Must take  concurrently with EDEC 145; Praxis core  requirement fulfilled; Placement is TBD,EARLY--CHILDHOOD--PRE--K-3,Spring 2020
EDEC 151, The Science of Everyday Life,96093,3,25,16,9, 04:35, 07:35, R, REMOTE, COURSE, Smith D, Prereqs enforced by the system: EDEC  001,EARLY--CHILDHOOD--PRE--K-3,Fall 2020
EDEC 156, K-3 STEM: Math for Meaning,91410,3,16,14,2, 04:32, 07:35, T, REMOTE, COURSE, Smith C," Prereqs enforced by the system: EDEC  063; or equivalent; Coreq: EDEC 179,  181, 182; ECP or ECSP majors only;  Prereq: PRAXIS Core Requirement  Fullfulled; Open to Degree and CDE  students. Weekly class sessions will  utilize a combination of asynchronous  modules for individual and small group  work as well as synchronous meetings on  selected Tuesday evenings from  4:35-7:35pm.",EARLY--CHILDHOOD--PRE--K-3,Fall 2020
EDEC 179, K-3 Interdisciplinry Practicum,91548,4,12,4,8, 07:30, 03:30, W, OFFCMP, SEE NOTES, Torncello S," Prereqs enforced by the system: EDEC  063; or equivalent; Coreqs: EDEC 156,  181, and 182; ECP or ECSP majors only;  Prereq: PRAXIS Core Requirement  Fulfilled; Placement in K-3 Community  Schools; Lab Fee $40",EARLY--CHILDHOOD--PRE--K-3,Fall 2020
EDEC 181, K-3 Inquiry,91544,3,16,14,2, 01:15, 04:15, T, REMOTE, COURSE, Northey K," Prereqs enforced by the system: EDEC  063; or equivalent; Prereq: PRAXIS Core  Requirement Fulfilled; Coreqs: EDEC 156,  179 and EDEC 182; ECP or ECSP majors  only",EARLY--CHILDHOOD--PRE--K-3,Fall 2020
EDEC 182, K-3 Literacy,91545,3,18,14,4, 04:05, 07:05, M, REMOTE, COURSE, Burrington B," Prereqs enforced by the system: EDEC  063; or equivalent; Prereq: PRAXIS Core  Requirement Fulfilled; Coreqs: EDEC 156,  179 and EDEC 181; ECP or ECSP majors  only",EARLY--CHILDHOOD--PRE--K-3,Fall 2020
EDEC 187, Early Childhood Studnt Teachng,12332,12,18,5,13, TBA, TBA,, TBA, TBA, Torncello S, Prereqs enforced by the system: EDEC  179; Praxis core requirement fulfilled;  Field Placement location TBD; M-F  7:30am-4:00pm availability required;  Must take concurrently with EDEC 188,EARLY--CHILDHOOD--PRE--K-3,Spring 2020
EDEC 188, Student Teaching Seminar,91546,3,9,6,3, 04:05, 07:05, M, REMOTE, COURSE, Torncello S, Prereqs enforced by the system: EDEC  103 & 139 & 179; Prereq: PRAXIS Core  Reqirements Fulfilled; Coreqs: EDEC 187;  ECP or ECSP majors only; Must have GPA  of 3.0 or higher,EARLY--CHILDHOOD--PRE--K-3,Fall 2020
EDEC 195, Practicum Non-Endorsement,15059, 1.00-18.00,6,4,2, TBA, TBA,, ONCMP, SEE NOTES, Cowles K, Instructor Permission; Meets at Campus  Children's School,EARLY--CHILDHOOD--PRE--K-3,Spring 2017
EDEC 291, Non-licensure practicum,90165, 1.00-18.00,10,1,9, TBA, TBA,, TBA, TBA, Mackillop L, ECP majors only; Instructor permission  required,EARLY--CHILDHOOD--PRE--K-3,Fall 2018
EDEL 024, Learners and Learning Process,91552,3,42,36,6, 08:30, 11:30, W, REMOTE, COURSE, Jiron H, Open to Elementary Education majors or  by instructor permission,ELEMENTARY--EDUCATION,Fall 2020
EDEL 056, Teachers&the Teaching Process,90099,3,30,26,4, 10:05  08:00, 11:20  11:20, T  R, MANN  MANN, 211  211, Becker K," Prereqs: EDEL 024/EDEC 063, EDTE 056,  EDFS 002; 2nd or 3rd year Elementary  Education (ELK6) majors only; Class  meets in designated off campus  elementary school sites on 10 Thursdays;  Prereq or coreq: EDEL 178; Lab fee: $40.  00",ELEMENTARY--EDUCATION,Fall 2020
EDEL 155, Lab Experience in Inquiry,90100,3,25,24,1, 08:00, 11:45, T R, REMOTE, COURSE, Jorgenson S  Fuller M," Concurrent with EDEL 157, 158; ELK6 3rd  yr, 4th yr; Class meets in designated  off campus elementary school sites and  on campus: Admit to Teacher Education;  2.75 overall GPA requirement; Lab fee:  $40.00",ELEMENTARY--EDUCATION,Fall 2020
EDEL 156, Teaching Math for Meaning,90101,3,25,23,2, 11:40, 12:55, T R, REMOTE, COURSE, Neumann M," Concurrent with EDEL 175, 176, 177;  ELK6 3rd yr, 4th yr; Admit to Teacher  Education; 2.75 overall GPA requirement",ELEMENTARY--EDUCATION,Fall 2020
EDEL 157, SU: Social Educ&Social Studies,90112,3,25,24,1, 01:15, 02:30, T R, REMOTE, COURSE, Jorgenson S," Concurrent with EDEL 155, 158 ELK6 3rd  yr, 4th yr; Admit to Teacher Education;  2.75 overall GPA requirement",ELEMENTARY--EDUCATION,Fall 2020
EDEL 158, Teaching Science for Meaning,90114,3,25,24,1, 02:50, 04:05, T R, REMOTE, COURSE, Walls L," Concurrent with EDEL 155, 157; ELK6 3rd  yr, 4th yr; Admit to Teacher Education;  2.75 overall GPA requirement",ELEMENTARY--EDUCATION,Fall 2020
EDEL 159, Integrating the Arts,10305,3,25,25,0, 04:35, 07:35, R, L/L CM,315, Becker K,,ELEMENTARY--EDUCATION,Spring 2020
EDEL 175, Lab Experience in Literacy,90115,3,25,23,2, 08:00, 11:45, M W, REMOTE, COURSE, Becker K  Neumann M," Concurrent with EDEL 156, 176, 177;  ELK6 3rd yr, 4th yr; Class meets in  designated off campus elementary school  sites and on campus; Admit to Teacher  Education; 2.75 overall GPA requirement;  Lab fee: $40.00",ELEMENTARY--EDUCATION,Fall 2020
EDEL 176, Language Arts&Literacy Skills,90116,3,25,23,2, 12:00, 03:00, M, REMOTE, COURSE, Revelle K," Concurrent with EDEL 156, 175, 177;  ELK6 3rd yr, 4th yr; Admit to Teacher  Education; 2.75 overall GPA requirement;",ELEMENTARY--EDUCATION,Fall 2020
EDEL 177, Children's Lit & Literacy,90117,3,25,25,0, 12:00, 03:00, W, REMOTE, COURSE, Halladay J," Concurrent with EDEL 156, 175, 176, or  Instructor permission needed; ELK6 3rd  yr, 4th yr; Admit to Teacher Education;  2.75 overall GPA requirement",ELEMENTARY--EDUCATION,Fall 2020
EDEL 178, Mtg Needs of Diverse Learners,90225,3,64,52,12, 02:50, 04:05, T R, REMOTE, COURSE, Leonard C," Prereqs: EDEC 063 or EDEL 024; ELK6 2nd  yr, 3rd yr; Recommended that EDSP 005  be taken previously or concurrently",ELEMENTARY--EDUCATION,Fall 2020
EDEL 187," Plan,Adapt,Deliv Lit Instruct",10430,3,25,23,2, 12:00, 03:00, W, WATERM,539, Leonard C, Prereqs enforced by the system: EDEL  175 & EDEL 176; ELK6 3rd or 4th yr;  Must have completed EDEL 176. EDEL 177  should be taken previously or  concurrently. Must be taken prior to  student teaching,ELEMENTARY--EDUCATION,Spring 2017
EDEL 188, Principles of Classroom Mgmt,10431,3,30,25,5, 01:15, 04:15, R, WATERM,426, Baker E, 4th yr ELK6; Admit to Stdnt Tching;  Concurrent w/EDEL 185,ELEMENTARY--EDUCATION,Spring 2017
EDEL 287," Plng, Adptg, Dlvring Lit Instr",93071,3,25,27,-2, 12:00, 03:00, W, REMOTE, COURSE, Leonard C  Revelle K, Prereqs enforced by the system: EDEL  175 and EDEL 176; or instructor  permission; ELK6 3rd or 4th yr; EDEL  177 should be taken previously or  concurrently; Must be taken prior to  student teaching,ELEMENTARY--EDUCATION,Fall 2020
EDEL 288, Principles-Classroom Mgmt,93074,3,25,25,0, 01:15, 04:15, R, REMOTE, COURSE, Baker E, Concurrent with EDEL 285; ELK6 4th yr;  Admit to Student Teaching,ELEMENTARY--EDUCATION,Fall 2020
EDFS 001, D1:Race and Racism in the U.S.,90399,3,97,90,7, 11:40, 12:55, T R, REMOTE, COURSE, Eagan H, Open to Degree and CDE students,FOUNDATIONS,Fall 2020
EDFS 002, School and Society,10700,3,100,102,-2, 02:50, 04:05, T R, LAFAYE, L207, Jiron H," First year students in ELK6, EDML, SE,  SEE, SEL SEM, SES, SESS, PE, ARTE;  Sophomores and above can register  starting Monday, November 18th",FOUNDATIONS,Spring 2020
EDFS 200, Writing To Make Meaning,12535,3,20,14,6, 04:05, 07:05, M, WATERM,455, Nash R,,FOUNDATIONS,Spring 2019
